Eidolon Names|Total Bonus
Da Qiao, Aoandon, Shuten-Doji|All stats +6%
Anubis, Maja, Halloween Zephyrine|All stats +6%
New Year Queen of Hearts, Eligos, Festival Muramasa|All stats +6%
Poseidon, Gigas, Hebe|All stats +6%
Eris, Idun, Kingyo-hime|All stats +9%
Hestia, Ares|Armor Piercing +15
Abe no Seimei, Tsukuyomi|Armor Piercing +6
Little Red Riding Hood, Cesela|Armor Piercing +6
Summer Iwanaga-hime, Summer Michaela|Armor Piercing +6
Hodur, Frigga|Armor Piercing +6
Nekomata, Tsubaki|Armor Piercing +9
Little Red Riding Hood, Serena|Armor Piercing +9
Santa Kingyo-hime, Santa Idun|Armor Piercing +9
Christmas Andrea, Tigerius Caesar, Santa Komainu|Armor Piercing +9
Orochi, Kusanagi|CRIT DMG +12%
Yumikaze, Diao Chan|CRIT DMG +15%
Salome, Kotonoha|CRIT DMG +6%
Percival, Cyril|CRIT DMG +6%
Summer Iwanaga-hime, Summer Nidhogg|CRIT DMG +6%
Aladdin, Qingniao, Thumbelina|CRIT DMG +6%
Princess Kaguya, Serena, Cesela|CRIT DMG +6%
Jormungand, Ayako, Tyr|CRIT DMG +6%
Aoandon, Zashi|CRIT DMG +9%
Shuten-Doji, Nekomata|CRIT DMG +9%
Zhang Fei, Kaiser Zeta, Aladdin|CRIT DMG to Boss Monsters +6%
Zhang Fei, Vayu, Da Qiao|CRIT DMG to Boss Monsters +6%
Dorothy, Kotonoha, Princess Kaguya|CRIT DMG to Boss Monsters +6%
Liu Bei, Alucard, Zaahir|CRIT DMG to Boss Monsters +6%
Guan Yu, Vayu, Dorothy|CRIT DMG to Players +6%
New Year Hestia, Percival|Combo chance +3%
Alice, Justicia|Combo chance +6%
Zephyrine, Zashi|Combo chance +6%
Summer Nidhogg, Summer Alucard|Combo chance +6%
Beelzebub, Eligos, Thor|DMG +6% against Dark targets
Anubis, Cleopawtra, Salome|DMG +6% against Flame targets
Dorothy, Abraxas, Andrea|DMG +6% against Holy targets
Thor, Sigrun, Skuld|DMG +6% against Lightning targets
